order_id,review_rating,reason_review_product,reason_review_delivery,reason_review_price,reason_review_service
ORD000001,5,FALSE,FALSE,FALSE,FALSE
ORD000002,4,TRUE,FALSE,FALSE,FALSE
ORD000004,3,FALSE,TRUE,FALSE,FALSE
ORD000005,4,FALSE,FALSE,FALSE,FALSE
ORD000006,5,FALSE,TRUE,FALSE,FALSE
ORD000008,4,TRUE,TRUE,FALSE,FALSE
ORD000009,4,FALSE,FALSE,FALSE,FALSE
ORD000012,4,FALSE,FALSE,FALSE,FALSE
ORD000015,2,FALSE,FALSE,FALSE,FALSE
ORD000018,4,FALSE,TRUE,FALSE,FALSE
ORD000019,3,FALSE,FALSE,FALSE,FALSE
ORD000020,3,FALSE,FALSE,FALSE,FALSE
ORD000021,2,FALSE,FALSE,FALSE,FALSE
ORD000025,5,FALSE,TRUE,FALSE,FALSE
ORD000027,5,FALSE,FALSE,FALSE,FALSE
ORD000030,3,FALSE,FALSE,FALSE,FALSE
ORD000031,3,FALSE,FALSE,FALSE,FALSE
ORD000034,5,FALSE,FALSE,FALSE,FALSE
ORD000035,5,FALSE,FALSE,FALSE,FALSE
ORD000036,1,FALSE,FALSE,FALSE,FALSE
ORD000038,3,FALSE,FALSE,FALSE,FALSE
ORD000042,5,FALSE,FALSE,FALSE,FALSE
ORD000043,4,TRUE,TRUE,FALSE,FALSE
ORD000044,4,FALSE,TRUE,FALSE,FALSE
ORD000045,4,FALSE,FALSE,TRUE,FALSE
ORD000046,5,TRUE,FALSE,FALSE,FALSE
ORD000050,5,TRUE,TRUE,FALSE,FALSE
ORD000051,5,FALSE,TRUE,FALSE,FALSE
ORD000052,2,FALSE,TRUE,FALSE,FALSE
ORD000054,5,TRUE,TRUE,TRUE,FALSE
ORD000055,5,FALSE,FALSE,FALSE,TRUE
ORD000056,3,FALSE,FALSE,FALSE,FALSE
ORD000057,4,FALSE,FALSE,FALSE,FALSE
ORD000061,4,FALSE,TRUE,FALSE,FALSE
ORD000062,4,FALSE,TRUE,FALSE,FALSE
ORD000063,1,FALSE,TRUE,FALSE,FALSE
ORD000064,5,FALSE,FALSE,FALSE,FALSE
ORD000066,4,FALSE,FALSE,FALSE,FALSE
ORD000070,5,FALSE,FALSE,FALSE,FALSE
ORD000073,4,FALSE,FALSE,FALSE,FALSE
ORD000074,4,FALSE,FALSE,FALSE,FALSE
ORD000075,4,FALSE,FALSE,FALSE,FALSE
ORD000081,1,FALSE,FALSE,FALSE,FALSE
ORD000082,5,FALSE,FALSE,FALSE,FALSE
ORD000083,4,FALSE,FALSE,FALSE,FALSE
ORD000084,1,FALSE,FALSE,FALSE,FALSE
ORD000089,5,FALSE,TRUE,FALSE,FALSE
ORD000090,5,FALSE,FALSE,FALSE,FALSE
ORD000091,2,FALSE,TRUE,FALSE,FALSE
ORD000092,5,FALSE,TRUE,FALSE,FALSE
ORD000093,5,TRUE,TRUE,TRUE,FALSE
ORD000095,1,TRUE,TRUE,FALSE,FALSE
ORD000097,5,FALSE,FALSE,FALSE,FALSE
ORD000098,4,TRUE,FALSE,FALSE,FALSE
ORD000100,5,FALSE,FALSE,FALSE,FALSE
ORD000102,1,FALSE,TRUE,FALSE,FALSE
ORD000103,4,TRUE,TRUE,FALSE,FALSE
ORD000105,5,TRUE,TRUE,FALSE,FALSE
ORD000108,5,FALSE,FALSE,FALSE,FALSE
ORD000109,2,FALSE,FALSE,FALSE,FALSE
ORD000114,5,FALSE,FALSE,FALSE,FALSE
